"idno","cntry","nwspol","netusoft","netustm","ppltrst","pplfair","pplhlp","polintr","psppsgva","actrolga","psppipla","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstep","trstun","vote","prtvtcgb","contplt","wrkprty","wrkorg","badge","sgnptit","pbldmn","bctprd","pstplonl","clsprty","lrscale","prtclcgb","prtdgcl","stflife","stfeco","stfgov","stfdem","stfedu","stfhlth","gincdif","freehms","hmsfmlsh","hmsacld","euftf","imsmetn","imdfetn","impcntr","imbgeco","imueclt","imwbcnt","happy","sclmeet","inprdsc","sclact","crmvct","aesfdrk","health","hlthhmp","atchctr","atcherp","rlgblg","rlgdnm","rlgdngb","rlgdgr","rlgatnd","pray","dscrgrp","ctzcntr","brncntr","livecnta","blgetmg","facntr","mocntr","vteumbgb","evpdemp","pdempyr","lvpntyr","evlvptn","lvptnyr","evmar","maryr","bthcld","nbthcld","plnftr","hhmmb","gndr","yrbrn","agea","maritalb","domicil","eisced","edagegb","eduyrs","mnactic","pdjobev","pdjobyr","emplrel","emplno","wrkctra","estsz","jbspv","njbspv","wkdcorga","iorgact","wkhct","wkhtot","nacer2","tporgwk","isco08","wrkac6m","uemp3m","uemp12m","uemp5yr","mbtru","hincsrca","hinctnta","hincfel","iincsrc","region","frprtpl","gvintcz","poltran","ifredu","ifrjob","evfredu","evfrjob","recskil","recexp","recknow","recimg","recgndr","sofrdst","sofrwrk","sofrpr","sofrprv","ppldsrv","jstprev","pcmpinj","ipcrtiv","imprich","ipeqopt","ipshabt","impsafe","impdiff","ipfrule","ipudrst","ipmodst","ipgdtim","impfree","iphlppl","ipsuces","ipstrgv","ipadvnt","ipbhprp","iprspot","iplylfr","impenv","imptrad","impfun","anweight"
604,"GB",60,1,NA,0,5,5,2,3,2,2,1,4,4,6,5,5,4,4,"Yes",1,0,0,0,0,1,0,0,0,0,5,NA,NA,5,4,4,4,4,4,2,2,5,2,5,2,2,2,4,5,5,8,2,1,2,0,2,3,"Yes to some extent",7,7,1,2,5,6,6,7,0,1,1,NA,1,1,1,2,1,1978,1980,1,1980,1,1980,1,3,6,2,1,1958,60,1,"village",5,18,15,8,1,2008,"Employee",NA,1,2,0,NA,6,2,20,20,85,1,5312,0,1,0,0,"No",4,3,2,4,"UKC",2,2,2,6,6,5,5,3,2,2,1,2,2,4,4,4,3,4,4,4,4,2,2,1,2,5,2,2,3,4,2,4,2,4,2,4,2,3,2,3,2.0907693
661,"GB",30,5,120,0,5,3,3,2,2,2,2,0,3,3,0,0,0,5,"Yes",1,0,0,0,0,0,0,1,1,0,2,NA,NA,0,0,0,0,0,0,1,2,4,4,0,3,3,4,0,0,0,5,7,2,3,0,4,3,"No",10,0,0,NA,NA,0,6,7,0,1,1,NA,0,1,1,2,1,1966,1973,1,1973,1,1973,1,2,0,1,0,1950,69,5,"suburbs",1,15,10,6,1,2013,"Employee",NA,1,5,0,NA,0,0,36,36,29,4,8211,0,0,NA,NA,"Yes, previously",4,2,2,NA,"UKG",4,2,3,10,5,10,0,4,4,4,1,2,2,2,1,3,2,4,4,1,4,1,2,2,4,5,4,2,2,2,2,2,1,1,1,4,1,1,1,1,1.4470243
702,"GB",360,5,480,9,5,8,3,3,4,3,5,10,10,10,8,5,8,7,"Not eligible to vote",NA,0,0,0,0,1,0,0,1,0,3,NA,NA,10,7,3,8,NA,7,4,1,5,1,10,1,1,1,10,10,10,10,4,4,3,0,1,1,"No",7,10,1,1,1,7,5,3,0,0,0,2013,0,0,0,1,1,2013,2000,1,2009,0,NA,0,NA,3,2,1,1982,36,6,"town",7,29,23,1,NA,NA,"Employee",NA,1,5,0,NA,9,9,37,45,62,4,3313,1,0,NA,NA,"No",1,10,1,1,"UKH",5,4,4,0,10,8,8,4,4,3,2,2,4,2,2,4,3,3,3,2,3,2,1,2,1,5,1,2,3,1,1,1,2,1,4,3,3,1,3,5,1.8095343
710,"GB",60,4,60,8,6,7,2,2,3,3,2,7,7,7,5,5,6,7,"Yes",NA,0,0,0,0,1,0,0,0,0,5,NA,NA,7,7,4,5,6,5,2,2,5,2,4,1,1,1,8,8,8,8,6,4,3,0,2,2,"No",8,8,0,NA,NA,3,7,7,0,1,1,NA,0,0,1,1,1,1976,1970,1,1974,1,1977,1,3,2,2,0,1951,67,1,"village",7,24,19,1,NA,NA,"Employee",NA,2,1,0,NA,4,2,NA,10,84,1,3000,0,0,NA,NA,"Yes, previously",4,8,1,4,"UKN",2,3,3,9,9,6,6,3,3,3,3,3,4,2,2,3,4,4,2,3,4,4,3,2,2,3,2,2,5,2,2,3,2,5,3,3,2,2,5,5,1.7413654
734,"GB",120,5,360,7,7,7,1,3,4,3,3,5,5,5,5,4,4,5,"Yes",6,0,0,0,0,0,0,1,1,0,6,NA,NA,8,6,5,5,4,6,2,2,4,2,5,2,2,2,7,5,5,7,3,4,3,1,2,2,"No",6,6,0,NA,NA,0,7,7,0,1,1,NA,0,1,1,44,1,2002,2002,1,2013,1,2018,0,NA,1,1,0,1984,34,1,"suburbs",6,22,17,1,NA,NA,"Self-employed",1,NA,1,1,2,8,8,30,30,59,5,2431,0,0,NA,NA,"Yes, currently",2,3,1,NA,"UKC",3,3,2,7,7,4,4,3,3,3,1,2,3,2,2,4,4,4,4,2,5,2,2,3,3,4,1,4,5,1,1,4,3,4,4,4,1,1,3,4,1.6288828
736,"GB",720,5,30,7,8,8,3,3,2,4,2,3,4,5,3,2,0,6,"Yes",1,0,0,0,0,1,0,0,0,1,7,1,2,8,6,5,6,3,4,3,3,4,4,3,2,2,2,9,7,7,9,4,4,2,0,1,1,"No",8,7,1,2,2,8,3,1,0,1,1,NA,0,1,1,1,1,1959,1959,1,1970,1,1970,0,NA,2,2,0,1942,76,1,"suburbs",4,17,17,6,1,2005,"Employee",NA,1,4,1,10,10,1,37,40,30,4,2421,0,0,NA,NA,"Yes, previously",4,6,1,4,"UKK",4,3,3,10,10,5,3,3,3,1,1,1,4,2,2,2,4,3,2,1,6,1,5,4,5,2,2,2,5,2,2,5,1,5,1,5,1,2,1,5,1.9150739
757,"GB",90,5,120,5,6,5,2,3,4,3,4,5,7,7,3,4,3,5,"Yes",1,1,0,1,0,1,0,1,1,1,5,1,2,8,8,4,6,3,3,4,2,5,2,1,2,2,2,8,6,7,8,5,4,4,0,3,3,"No",8,8,1,1,1,7,4,2,0,1,1,NA,0,1,1,NA,1,1972,1972,1,1977,1,1977,0,NA,5,2,1,1953,65,1,"countryside",5,17,15,1,NA,NA,"Employee",NA,1,1,1,2,10,9,40,45,68,4,1439,1,0,NA,NA,"No",1,10,2,1,"UKH",4,4,2,8,7,8,7,4,4,3,1,2,4,2,2,3,4,4,4,1,3,1,4,6,4,4,4,5,4,5,2,4,1,1,5,5,1,1,1,4,2.0558858
786,"GB",60,3,NA,6,7,5,2,2,2,2,2,4,4,7,4,4,5,5,"Yes",NA,0,0,0,0,1,0,0,0,0,3,NA,NA,8,3,3,3,8,5,2,1,5,1,9,2,2,2,3,7,5,9,6,3,3,1,1,1,"No",6,4,0,NA,NA,2,7,7,0,1,1,NA,0,1,1,1,1,2002,2002,1,2006,1,2012,1,2,5,4,1,1984,34,1,"town",5,17,16,1,NA,NA,"Self-employed",0,NA,1,0,NA,10,10,0,10,96,5,5142,0,1,0,0,"No",1,9,1,1,"UKM",3,3,2,8,7,3,3,4,3,2,1,1,4,2,2,3,2,3,3,3,5,1,3,5,1,4,1,2,2,2,1,2,1,1,3,2,1,2,2,2,3.524599
795,"GB",60,1,NA,2,1,1,2,2,1,2,2,4,9,0,2,2,NA,NA,"Yes",2,0,0,0,0,0,0,0,0,0,NA,NA,NA,3,4,3,4,7,7,2,4,5,5,NA,3,2,2,6,6,5,4,1,1,1,0,4,3,"Yes a lot",5,NA,1,6,19,10,3,1,0,1,0,1983,1,0,0,1,1,1983,1983,1,1983,1,1983,0,NA,5,1,0,1957,61,1,"suburbs",2,24,20,1,NA,NA,"Self-employed",0,NA,1,0,NA,6,10,20,20,49,2,8331,0,0,NA,NA,"No",1,NA,3,NA,"UKI",4,4,5,0,0,5,5,4,3,3,2,2,2,2,2,3,2,2,2,2,6,2,2,1,2,2,NA,5,6,1,2,2,1,2,1,5,1,2,1,2,2.2344
825,"GB",90,5,660,6,7,7,2,3,4,3,3,5,8,8,7,7,7,7,"Yes",1,0,0,0,0,0,0,0,0,1,7,1,3,8,8,6,7,6,6,4,2,4,4,1,2,2,2,5,7,5,8,5,4,3,0,1,1,"No",8,4,0,NA,NA,0,7,7,1,1,1,NA,0,1,1,2,1,1979,1983,1,1983,1,1995,1,2,7,2,0,1964,54,4,"village",4,19,7,1,NA,NA,"Self-employed",0,NA,1,1,12,8,0,40,46,62,4,2421,0,0,NA,NA,"No",2,10,1,2,"UKF",4,3,2,8,8,5,5,4,4,3,1,1,4,2,2,4,3,2,2,4,4,3,5,5,4,4,3,3,3,3,4,4,3,4,2,4,2,2,4,4,2.7484937
